RequirementText,Label,ProjectID
" Each Trusted Framework present on the card shall Ensure that incoming messages are properly routed unaltered to their intended destinations,",sec,GPS
" ""Each Trusted Framework present on the card shall Ensure that any response messages are properly returned unaltered (except for any cryptographic protection) to the original receiver of the incoming message.""",sec,GPS
" ""The OPEN shall Provide an interface to all Applications that ensures that the GlobalPlatform security mechanism cannot be bypassed, deactivated, corrupted or otherwise circumvented,""",sec,GPS
" The OPEN shall Check application access rules according to the Applications' privileges,",sec,GPS
 The OPEN shall Manage card and Application Life Cycle,nonsec,GPS
" The OPEN shall Ensure that the Card Content changes are authorized by the Card Issuer,",sec,GPS
" The OPEN shall Ensure that application code has been signed by the Controlling Authority represented on the card,",sec,GPS
" The OPEN shall Ensure that application code has been signed by Application Providers represented on the card, if required.",sec,GPS
 Security Domains enforce the security policies of their off-card Security Domain Provider.,sec,GPS
" ""When applicable a Security Domain shall Communicate with off-card entities in accordance with its Security Domain Provider's security policy in Pre-Issuance and Post-Issuance,""",sec,GPS
" When applicable a Security Domain shall Manage on-card data securely,",sec,GPS
" ""When applicable a Security Domain shall Provide cryptographic protection services for its own Applications during their personalization and optionally during their subsequent operation,""",sec,GPS
" When applicable a Security Domain shall Request the OPEN to load, install, extradite, and delete card content,",nonsec,GPS
" When applicable a Security Domain shall Return to the off-card entity any receipt for load, install, extradition, and delete,",nonsec,GPS
" When applicable a Security Domain shall Verify the authorization for Card Content changes initiated by an off-card authority,",sec,GPS
" When applicable a Security Domain shall Generate receipts for load, install, extradition, and delete,",nonsec,GPS
 When applicable a Security Domain shall Verify the load file data block signature when requested by the OPEN.,sec,GPS
" A Global Services Application shall Be able to provide services to other Applications, such as CVM services,",nonsec,GPS
" A Global Services Application shall Hold the Global Services application-related data securely,",sec,GPS
 A Global Services Application shall Perform internal security measures as required by the service.,sec,GPS
 Applications should Expose only data and resources that are necessary for proper application functionality,sec,GPS
 Applications should Perform internal security measures required by the Application Provider,sec,GPS
" The back-end systems (multiple back-end systems may exist for a single card), which communicate with the cards, perform the verifications, and manage the off-card key databases, also shall be trusted.",sec,GPS
" ""One of the major requirements for a GlobalPlatform card is the ability to provide a minimum level of cryptographic functionality. This cryptography is, for example, used for the generation of signatures, and is available for use by the Applications present on the card.""",sec,GPS
 The Issuer Security Domain shall implement one Secure Channel Protocol.,sec,GPS
 A Security Domain other than the Issuer Security Domain shall implement [at least] one Secure Channel Protocol.,sec,GPS
 A GlobalPlatform card should support symmetric cryptography such as the Data Encryption Standard (DES) algorithm.,sec,GPS
 A GlobalPlatform card may also support asymmetric cryptography such as the Rivest / Shamir / Adleman (RSA) algorithm.,sec,GPS
" When present, services to encrypt and decrypt any pattern of data using these algorithms shall be available to Applications.",sec,GPS
" ""It is the responsibility of the Card Issuer or the Controlling Authority to set up the appropriate off-card procedures to comply with the governmental restrictions upon cryptography. Features to disable or restrict cryptography usage by Applications on a card are beyond the scope of this Specification.""",sec,GPS
 The Load File Data Block Hash is intended to verify the integrity of a complete Load File Data Block when loaded to a GlobalPlatform card.,sec,GPS
 The Load File Data Block Hash is used in the computation of The Load File Data Block Signature,sec,GPS
 The Load File Data Block Hash is used in the computation of The Load Token,nonsec,GPS
" When present during the loading of a Load File to the card, each signature shall be verified by the appropriate Security Domain.",sec,GPS
 Tokens shall be verified by the appropriate Security Domain.,sec,GPS
 The appropriate Security Domain may generate Receipts during Delegated Management.,nonsec,GPS
 A GlobalPlatform card may provide security services related to information exchanged between the card and an offcard entity.,nonsec,GPS
 The security level of the communication with an off-card entity does not necessarily apply to each individual message being transmitted but can only apply to the environment and/or context in which messages are transmitted.,nonsec,GPS
 The concept of the Life Cycle of the card (see section 5.1 - Card Life Cycle) may be used to determine the security level of the communication between the card and an off-card entity.,nonsec,GPS
" A GlobalPlatform card offers Entity authentication - in which the card or the off-card entity proves its authenticity to the other entity through a cryptographic exchange,",sec,GPS
" A GlobalPlatform card offers Integrity and authentication - in which the receiving entity (the card or off-card entity) ensures that the data being received from the sending entity (respectively the off-card entity or card) actually came from an authenticated entity in the correct sequence and has not been altered,",sec,GPS
 A GlobalPlatform card offers Confidentiality - in which data being transmitted from the sending entity (the off-card entity or card) to the receiving entity (respectively the card or off-card entity) is not viewable by an unauthenticated entity.,sec,GPS
" The life cycle models is responsible to functionality and security of Card, Executable Load Files, Executable Modules, Security Domains, and Applications.",sec,GPS
 The OPEN shall owns and maintains the Life Cycle information within the GlobalPlatform Registry ,nonsec,GPS
 The OPEN shall be responsible to maintain security and administration of the card and its content,sec,GPS
" At OP_READY state, the OPEN shall be available and ready for execution ",nonsec,GPS
" At OP_READY state, the runtime environment shall be  ready for execution ",nonsec,GPS
" At OP_READY state, issuer security domain shall be implicitly selected application for all card interfaces",nonsec,GPS
" At OP_READY state,Executable Load Files that were included in Immutable Persistent Memory shall be registered in the GlobalPlatform Registry",nonsec,GPS
" At OP_READY, initial key shall be available within the issuer security domain",nonsec,GPS
 The off-card entity under the OP_READY state may insert Security Domain keys  in order to maintain a cryptographic key separation from the Issuer Security Domain keys,sec,GPS
 The SECURED state may be used to enforce the relevant security policies of the security domain and applications,sec,GPS
 The off-card entity under the SECURE state shall be used to ensure the availability of all keys by the issuer security domain,sec,GPS
 The CARD_LOCKED state shall has the ability to disable the selected security domain and application,nonsec,GPS
 The card under CARD_LOCKED state shall only allow the application to select the final application privilege,nonsec,GPS
 The Card Content changes including any type of data management (specifically Security Domain keys and data) shall not allowed in the CARD_LOCKED state.,nonsec,GPS
 The state TERMINATED shall be used to permanently disable all card functionality with respect to any card content management and any life cycle changes.,nonsec,GPS
" The GlobalPlatform Environment (OPEN) supports Command Dispatch functions (Application and Security Domain selection, (Optional) Logical channel management, Command dispatching) if the underlying runtime environment does not support them:",nonsec,GPS
" The GlobalPlatform Environment (OPEN) supports Card Content Management functions (Content verification, Content loading, Content installation, Content removal, Access control rules for card content management) if the underlying runtime environment does not support them:",nonsec,GPS
" The GlobalPlatform Environment (OPEN) supports Security Management functions (Security Domain locking and unlocking, Application locking and unlocking, Card locking and unlocking, Card termination, Privilege usage, Security Domain, privilege usage, Tracing and event logging) if the underlying runtime environment does not support them:",nonsec,GPS
 The GlobalPlatform Environment (OPEN) supports GlobalPlatform Trusted Framework functions (Secure inter-application communication) if the underlying runtime environment does not support them:,nonsec,GPS
 The GlobalPlatform Registry is a data store required to support the various system functions of the GlobalPlatform.,nonsec,GPS
 Applications and Security Domains may access andor modify some content known or managed by the OPEN.,nonsec,GPS
 The commands received by a GlobalPlatform card shall be processed by the OPEN or dispatched to the selected Application for processing.,nonsec,GPS
 The SELECT [by name] command is processed by the OPEN.,nonsec,GPS
" If the card is aware of logical channels but only supports the Basic Logical Channel, the OPEN shall respond with the appropriate error,",nonsec,GPS
" If the card is aware of logical channels and supports at least one Supplementary Logical Channel, the OPEN shall process the command,",nonsec,GPS
" If the card only supports the Basic Logical Channel and has no concept of logical channel support, the command shall be dispatched to the selected Application for processing.",nonsec,GPS
 Any other type of command received shall be dispatched to the currently selected Application.,nonsec,GPS
" ""Commands are either received on the Basic Logical Channel (logical channel number zero) or on a Supplementary Logical Channel (logical channel number other than zero). In compliance with ISO/IEC 7816-4, logical channel information shall be indicated in the class byte of the APDU command header.""",nonsec,GPS
" ""For all commands, if the command indicates a Supplementary Logical Channel that is not opened then:   If the card only supports the Basic Logical Channel and has no concept of logical channel support, the command shall be dispatched to the selected Application for processing.   If the card is aware of logical channels, the OPEN shall respond with the appropriate error. (This requirement may exclude the SELECT command, if the card supports opening of a logical channel using the SELECT command.)""",nonsec,GPS
" For commands that are dispatched to an Application, it is the responsibility of the Application to correctly reject commands that it does not recognize, expect or cannot process.",nonsec,GPS
 The Issuer Security Domain shall have no multi-selection restrictions on cards that support multiple logical channels i.e. it shall be capable of being selected across multiple logical channels.,nonsec,GPS
 The Issuer Security Domain is by default the implicitly selectable Application on all logical channels of all card I/O interfaces supported by the card. Implicit selection on a specific logical channel of a specific card I/O interface may be assigned only if the Issuer Security Domain is the implicitly selectable Application on that logical channel of that card I/O interface and no other Locked Application is registered as implicitly selectable for the same logical channel and card I/O interface,nonsec,GPS
" An Application installed or made selectable with a specific Implicit Selection parameter is registered in the GlobalPlatform Registry as the implicitly selectable Application on the logical channel(s) of the card I/O interface(s) indicated in the parameter if no other Application (other than the Issuer Security Domain) is already registered as implicitly selectable on that logical channel(s) of that card I/O interface(s),",nonsec,GPS
" An Application installed or made selectable with the Card Reset privilege and no Implicit Selection parameter is registered in the GlobalPlatform Registry as the implicitly selectable Application on the Basic Logical Channel for all card I/O interfaces supported by the card if no other Application (other than the Issuer Security Domain) is already registered as implicitly selectable on the Basic Logical Channel of any card I/O interface,",nonsec,GPS
" If an Application implicitly selectable on specific logical channel(s) of specific card I/O interface(s) is deleted, the Issuer Security Domain becomes the implicitly selectable Application on that logical channel(s) of that card I/O interface(s).",nonsec,GPS
" ""The OPEN shall use the implicit selection registration of each Application for controlling the following runtime behavioral requirements:   Identifying the Application which is implicitly selectable on the Basic Logical Channel of the current card I/O interface during the card reset or activation sequence,   Identifying the Application which is implicitly selectable when opening on the current card I/O interface a new Supplementary Logical Channel from the Basic Logical Channel.""",nonsec,GPS
 The Basic Logical Channel is the permanently available interface to a GlobalPlatform card and shall be supported by the OPEN.,nonsec,GPS
" The OPEN shall support Application selection on the Basic Logical Channel via Implicit Selection following the card reset (see ISO/IEC 7816-3 for contact cards) or activation sequence (see ISO/IEC 14443-3 for contactless cards),",nonsec,GPS
 The OPEN shall support Application selection on the Basic Logical Channel via Explicit Selection through the SELECT [by name] command.,nonsec,GPS
 The OPEN may also support additional selection processes.,nonsec,GPS
" Partial AID selection as defined in section 6.4.2.1.2 - Explicit Selection, shall be supported. (Partial AID selection does not require knowledge of the full AID by the off-card entity.)",nonsec,GPS
" As multiple Applications on the card may have the same partial AID, it is required that a method exists to select all Applications matching the partial AID.",nonsec,GPS
" Once the card session has been established (for contact cards according to ISO/IEC 7816-4 after Answer-to-Reset, or after the activation sequence for contactless cards according to ISO/IEC 14443-3), and before the first command is issued to the card, the Application defined as implicitly selectable on the Basic Logical Channel and for that card I/O interface shall become the selected Application on the Basic Logical Channel for that card I/O interface.",nonsec,GPS
" If the card is in the Life Cycle State CARD_LOCKED or TERMINATED, the Application with the Final Application privilege is the selected Application on the Basic Logical Channel and the OPEN shall not attempt to identify the implicitly selectable Application",nonsec,GPS
" In all other cases the OPEN shall search the GlobalPlatform Registry for an Application that is marked as implicitly selectable on the Basic Logical Channel for the current card I/O interface (e.g. contact or contactless), and if this Application is not in the Life Cycle State LOCKED, it shall become the selected Application on the Basic Logical Channel. If this is an Application in the Life Cycle State LOCKED, the Application with the Final Application privilege shall become the selected Application on the Basic Logical Channel.",nonsec,GPS
 At any time during a Card Session the OPEN may receive a request to select an Application on the Basic Logical Channel (SELECT [by name] [first or only occurrence] command). The OPEN shall determine if the requested AID matches or partially matches an entry within the GlobalPlatform Registry and whether this entry is selectable.,nonsec,GPS
" At any time during a Card Session that has already contained a SELECT [by name] [first or only occurrence] command, the OPEN may receive a request to select a next Application (SELECT [by name] [next occurrence] command) on the Basic Logical Channel. The OPEN shall determine if the requested AID matches or partially matches another entry within the GlobalPlatform Registry and whether this entry is selectable.",nonsec,GPS
" ""For both the SELECT [by name] [first or only occurrence] command and the SELECT [by name] [next occurrence] command, an Application becomes the selected Application on the Basic Logical Channel if:   The requested AID matches (fully or partially) the Application’s AID,   The Application being selected is in the correct Life Cycle State,   The Application has no restrictions due to multi-selection, and supports the current card interface.""",nonsec,GPS
" ""In the card Life Cycle State CARD_LOCKED: - If the Application being selected has the Final Application privilege, this Application is re-selected and a warning is returned to the off-card entity, - If any other Application is being selected, the Application with the Final Application privilege remains selected and an error is returned to the off- card entity,""",nonsec,GPS
" ""If a SELECT [by name] [first or only occurrence] or SELECT [by name] [next occurrence] is received and the data field of the command message is not present, the Issuer Security Domain shall become the currently selected Application and the SELECT command is dispatched to the Issuer Security Domain,""",nonsec,GPS
" If a SELECT [by name] [first or only occurrence] is received, the search always begins from the start of the GlobalPlatform Registry,",nonsec,GPS
" If a SELECT [by name] [next occurrence] is received, the search always begins from the entry following the currently selected Application on the Basic Logical Channel in the GlobalPlatform Registry,",nonsec,GPS
" If a full or partial match is found and this Application is in the Life Cycle State INSTALLED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,GPS
" If a full or partial match is found and this Application is in the Life Cycle State LOCKED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. In the eventuality that this locked Application is already currently selected on the Basic Logical Channel, the OPEN shall terminate this Application Session. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,GPS
" If a full or partial match is found and this Application cannot be selected due to a multi-selection restriction or because the Application refuses selection (e.g. because it does not support the current card interface), continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,GPS
" If a full or partial match is found and this Application is selectable (i.e. in the correct Life Cycle State and has no multi-selection restrictions), then it shall become the currently selected Application on the Basic Logical Channel and the SELECT [by name] command, whether [first or only occurrence] or [next occurrence], shall be processed according to the requirements of the runtime environment (e.g. dispatched to the Application),",nonsec,GPS
" ""If no full or partial match is found at all, the currently selected Application on the Basic Logical Channel shall remain the selected Application and - If the SELECT [by name] command has the [first or only occurrence] parameter set, the SELECT command is dispatched to the Application, - If the SELECT [by name] command has the [next occurrence] parameter set, the OPEN shall return the appropriate error to the off-card entity,""",nonsec,GPS
" In the eventuality that the current Application Session has been terminated and no subsequent full or partial match is found, the OPEN shall make an attempt to select the Application that is marked as implicitly selectable on the Basic Logical Channel for the current card interface.",nonsec,GPS
 At any time during a Card Session the OPEN may receive a request on the Basic Logical Channel to either open or close a Supplementary Logical Channel.,nonsec,GPS
" If the card only supports the Basic Logical Channel and has no concept of logical channel support, the MANAGE CHANNEL command is dispatched to the currently selected Application. In this case, when a Security Domain is the currently selected Application, the command shall be rejected.",nonsec,GPS
" ""On cards that support logical channels, if a MANAGE CHANNEL [open] is received:   If an Application is designated as implicitly selectable on the new Supplementary Logical Channel for the current card interface, that Application is implicitly selected on the newly opened Supplementary Logical Channel and runtime behavior requirements apply,   Otherwise the Application designated as implicitly selectable on the Basic Logical Channel for this card interface is implicitly selected on the newly opened Supplementary Logical Channel and runtime behavior requirements apply.""",nonsec,GPS
" On cards that support logical channels, if a MANAGE CHANNEL [close] is received, terminate the Application Session currently selected on the Supplementary Logical Channel indicated by the command and then close that logical channel. The Basic Logical Channel can never be closed.",nonsec,GPS
" If the card is in the Life Cycle State CARD_LOCKED or TERMINATED, return the appropriate error.",nonsec,GPS
" If the number of logical channels supported by the OPEN is not sufficient to open a new Supplementary Logical Channel, return the appropriate error.",nonsec,GPS
" ""The OPEN shall search the GlobalPlatform Registry for the Application that supports the current card interface and that is marked as implicitly selectable on the new Supplementary Logical Channel (or failing that, on the Basic Logical Channel) and: - If this is an Application in the Life Cycle State LOCKED, the Application with the Final Application privilege shall become the selected Application on the Supplementary Logical Channel, - If this Application cannot be selected due to a multi-selection restriction, the new logical channel shall not be opened and the OPEN shall return the appropriate error, - Otherwise, the Supplementary Logical Channel is opened and this Application shall become the selected Application on the Supplementary Logical Channel.""",nonsec,GPS
" Once an Application becomes the selected Application on the Basic Logical Channel, the responsibility for subsequent command dispatching still rests with the OPEN.",nonsec,GPS
" On cards that are aware of logical channels, the MANAGE CHANNEL commands are only processed by the OPEN and are not dispatched to an Application.",nonsec,GPS
 All other commands (including the MANAGE CHANNEL commands on cards that are not aware of logical channels or SELECT commands not described in section 6.4.2.1.2 - Explicit Selection) are immediately dispatched to the Application currently selected on the Basic Logical Channel. The processing of the command by the Application is beyond the scope of this Specification.,nonsec,GPS
" ""The OPEN shall support Application selection on an available Supplementary Logical Channel via two processes:   Implicit Selection following a successful MANAGE CHANNEL [open] command,   Explicit Selection through the SELECT [by name] command.""",nonsec,GPS
 The OPEN may also support additional selection processes.,nonsec,GPS
" Partial AID selection as defined in section 6.4.3.1.2 - Explicit Selection, shall be supported on Supplementary Logical Channels.",nonsec,GPS
" At any time on an open Supplementary Logical Channel, the OPEN may receive a request to select an Application on this Supplementary Logical Channel (SELECT [by name] [first or only occurrence] command). The OPEN shall determine if the requested AID matches or partially matches an entry within the GlobalPlatform Registry and whether this entry is selectable.",nonsec,GPS
" At any time on an open Supplementary Logical Channel that has already contained a SELECT [by name] [first or only occurrence] command since the Supplementary Logical Channel was last opened, the OPEN may receive a request to select a next Application (SELECT [by name] [next occurrence] command) on this Supplementary Logical Channel. The OPEN shall determine if the requested AID matches or partially matches another entry within the GlobalPlatform Registry and whether this entry is selectable.",nonsec,GPS
" ""For both the SELECT [by name] [first or only occurrence] command and the SELECT [by name] [next occurrence] command, an Application becomes the selected Application on the Supplementary Logical Channel if:   The requested AID matches (fully or partially) the Application’s AID,   The Application being selected is in the correct Life Cycle State,   The Application has no restrictions due to multi-selection, and supports the current card interface.""",nonsec,GPS
" ""If the card is in the Life Cycle State CARD_LOCKED or TERMINATED: - Close the Supplementary Logical Channel, if currently open, - Return the appropriate error,""",nonsec,GPS
" If a SELECT [by name] [first or only occurrence] or SELECT [by name] [next occurrence] is received and the data field of the command message is not present, the Issuer Security Domain shall become the currently selected Application and the SELECT command is dispatched to the Issuer Security Domain,",nonsec,GPS
" If a SELECT [by name] [first or only occurrence] is received, the search always begins from the start of the GlobalPlatform Registry,",nonsec,GPS
" If a SELECT [by name] [next occurrence] is received, the search always begins from the entry following the currently selected Application on this Supplementary Logical Channel in the GlobalPlatform Registry,",nonsec,GPS
" If a full or partial match is found and this Application is in the Life Cycle State INSTALLED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,GPS
" If a full or partial match is found and this Application is in the Life Cycle State LOCKED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. In the eventuality that this locked Application is already currently selected on the same Supplementary Logical Channel, the OPEN shall terminate this Application Session. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,GPS
" ""If a full or partial match is found and this Application cannot be selected due to a multi-selection restriction or because the Application refuses selection (e.g. because it does not support the current card interface), continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,""",nonsec,GPS
" If a full or partial match is found and this Application is selectable (i.e. in the correct Life Cycle State and has no multi-selection restrictions), then it shall become the currently selected Application on this Supplementary Logical Channel and the SELECT [by name] command, whether [first or only occurrence] or [next occurrence], shall be processed according to the requirements of the runtime environment (e.g. dispatched to the Application),",nonsec,GPS
" ""If no full or partial match is found at all, the currently selected Application on the Supplementary Logical Channel shall remain the selected Application and - If the SELECT [by name] command has the [first or only occurrence] parameter set, the SELECT command is dispatched to the Application, - If the SELECT [by name] command has the [next occurrence] parameter set, the OPEN shall return the appropriate error to the off-card entity.""",nonsec,GPS
" ""At any time on an open Supplementary Logical Channel the OPEN may receive a request to either open or close a Supplementary Logical Channel. If a MANAGE CHANNEL [open] is received and the Application selected on the original Supplementary Logical Channel has no multi-selection restrictions, this Application becomes the selected Application on the newly opened Supplementary Logical Channel. If a MANAGE CHANNEL [close] is received, terminate the Application Session currently selected on the Supplementary Logical Channel indicated by the command and then close that logical channel. The Basic Logical Channel can never be closed.""",nonsec,GPS
" If the card is in the Life Cycle State CARD_LOCKED or TERMINATED, return the appropriate error,",nonsec,GPS
" If the number of logical channels supported by the OPEN is not sufficient to open a new Supplementary Logical Channel, return the appropriate error,",nonsec,GPS
" If the Application currently selected on the original Supplementary Logical Channel cannot be selected on the new Supplementary Logical Channel due to a multi-selection restriction, the new logical channel shall not be opened and the OPEN shall return the appropriate error,",nonsec,GPS
" Otherwise, the Supplementary Logical Channel indicated by the command is opened and the Application currently selected on the original Supplementary Logical Channel shall become the selected Application on the newly opened Supplementary Logical Channel.",nonsec,GPS
" Once an Application becomes the selected Application on a Supplementary Logical Channel, the responsibility for subsequent command dispatching still rests with the OPEN.",nonsec,GPS
 The MANAGE CHANNEL commands are only processed by the OPEN and are not dispatched to an Application.,nonsec,GPS
 All other commands (including SELECT commands not described in section 6.4.3.1.2 - Explicit Selection) are immediately dispatched to the Application currently selected on the Supplementary Logical Channel. The processing of the command by the Application is beyond the scope of this Specification.,nonsec,GPS
" ""The GlobalPlatform Registry is used to:   Store card management information,   Store relevant application management information (e.g., AID, associated Security Domain and Privileges),   Support card resource management data,   Store Application Life Cycle information,   Store card Life Cycle information,   Track any counters associated with logs.""",nonsec,GPS
" ""The contents of the GlobalPlatform Registry may be updated in response to:   An internal OPEN invoked action,   An authorized Application invoked action.""",nonsec,GPS
" All Applications including all Security Domains, and all Executable Load Files, shall have an entry in the GlobalPlatform Registry.",nonsec,GPS
 Each Executable Load File or Executable Module is associated with an AID that shall be unique on the card.,nonsec,GPS
 An Application AID may be the same as that of an Executable Module but may not be the same as that of an Executable Load File or the same as another Application already present in the GlobalPlatform Registry.,nonsec,GPS
 This AID may be specified in a SELECT command to select the Application. It is not possible to select Executable Load Files or Executable Modules.,nonsec,GPS
Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction,sec,ePurse
"On-line authentication must take place between the card issuer and the CEP card for load, unload, and currency exchange transactions",sec,ePurse
The card issuer and the CEP card share a secret key to generate and verify MACs,sec,ePurse
Off-line authentication must take place between a PSAM in the POS device and the CEP card for purchase and cancel last purchase transactions,sec,ePurse
"The card and the PSAM must use a public key algorithm for mutual authentication and session key exchange, as no permanent shared secret key may exist between the CEP card and the PSAM",sec,ePurse
"To load value into a slot of the CEP card securely, the load device establishes a connection between the issuer and the CEP card",sec,ePurse
"The card should use a unique diversified secret key, personalized into the card, to generate and authenticate transaction signatures",sec,ePurse
"If this is not a cash load, the funds issuer needs to verify that the funds are requested by the legitimate account owner, which is normally done by the presentation of an enciphered PIN",sec,ePurse
"The card issuer needs to ensure that the load acquirer is guaranteeing payment for the electronic value, and that the card is authentic",sec,ePurse
"The load acquirer needs to ensure that the issuer is the true owner of the card, and, in the case of an apparent failure of the load, the load acquirer needs the card presented to authenticate the failure",sec,ePurse
The load device sends S1 in an authorization request to the issuer,sec,ePurse
The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request,sec,ePurse
The issuer validates S1 to authenticate the card and the data to be used in the transaction,sec,ePurse
The issuer sends S2 to the load acquirer in the authorization response message,sec,ePurse
Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer,sec,ePurse
"The cardholder must have an account relationship with the card issuer, and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card",sec,ePurse
"The issuer needs only to authenticate the card, and the card needs only to authenticate the issuer and that the data is the same as used by the issuer",sec,ePurse
"The card generates S1, using data from the card and load device, and sends S1 to the card issuer to authenticate the card and the data that is to be used in the transaction",sec,ePurse
"The card issuer generates S2, which is sent to the card to allow the card to validate the card issuerƒ??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended",sec,ePurse
"In the case of an unsuccessful completion, exception processing outlined in the On-line Exception Processing section is performed",nonsec,ePurse
"During a purchase transaction, the CEP card must ensure that it is dealing with an authentic POS device, and it must generate a signature to allow the card issuer to verify the integrity of the transaction",sec,ePurse
"The POS device must ensure that it is dealing with an authentic card, and guarantee integrity of transactions and batches to the merchant acquirer",sec,ePurse
"In the case of a reversal, the CEP card must re-authenticate the PSAM",sec,ePurse
"The card must ensure that the transaction is performed by the same POS device as was used for the purchase being canceled, and that the amount of the cancellation is the same as the amount of the purchase, or, in the case of an incremental purchase, the same as the amount of the last step",sec,ePurse
"During a Cancel Last Purchase transaction, the CEP card is authenticated by the PSAM in the POS device",sec,ePurse
"The PSAM authenticates that the purchase transaction being canceled was performed by the PSAM, and that the transaction being canceled is part of the active batch",sec,ePurse
The card issuer and the merchant acquirer also authenticate the transaction when they receive it,sec,ePurse
Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,sec,ePurse
"The transaction signatures ensure end to end integrity of transmitted data for load, unload, and currency exchange transactions",sec,ePurse
These totals are used by the merchant acquirer to ensure the integrity of the batch,sec,ePurse
"The count and amount of the transactions in the batch must be protected by the S4 MAC,  This information is not part of the card issuerƒ??s verification process",sec,ePurse
Scheme providers must assign unique identifying numbers to merchant acquirers who provide PSAMs,sec,ePurse
These merchant acquirers must then assign unique identifiers to PSAMs,sec,ePurse
"Each PSAM must maintain a transaction count, The unique PSAM ID and the transaction count are used during a conversation with a CEP card. The transaction count must not be reset during the life of the PSAM",sec,ePurse
"Contain the CA public RSA key, the PSAMƒ??s private RSA key and optionally the certificates that the POS device uses to perform mutual authentication with the CEP card",sec,ePurse
"Perform the calculation required to generate a signature using the PSAMƒ??s private RSA key, to allow the CEP card to validate the PSAM",sec,ePurse
Contain the latest transaction count and amount of batches that have not been deleted from the POS device by the merchant or merchant acquirer,nonsec,ePurse
Contain the details of a transaction between the initialize command for that transaction and the initialize command for the next transaction,nonsec,ePurse
"Be the entity that maintains control over the flow of a transaction, ensuring that all security is enforced",sec,ePurse
Perform the verification of signatures and certificates during a purchase and cancel last purchase transaction,sec,ePurse
Ensure that each batch of transactions is cleared and settled once and only once,nonsec,ePurse
Send transactions to card issuers or their processors in a standard format defined in agreement with the scheme provider,nonsec,ePurse
"Ensure that CA public keys, aggregation parameters, blocking lists and issuer certificate revocation lists from the scheme providers are sent to the POS devices",sec,ePurse
"Share one or more MAC keys with connecting processors, create a MAC on each transmission sent to another processor, and verify the MAC on each transmission received from another processor",sec,ePurse
Send transactions to other processors in a standard format defined in agreement with the scheme provider,nonsec,ePurse
"If a supported scheme provider has a dispute resolution process, participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions",nonsec,ePurse
"The scheme provider must ensure that the entire process between merchants, merchant acquirers, card issuers, and processors is auditable and reconcilable",sec,ePurse
"If errors in the card issuer MAC are discovered by the card issuer during its processing of the transactions, a dispute mechanism, established by the scheme provider, may be used to have money refunded",sec,ePurse
"If a scheme provider establishes a central error repository, all transactions for the scheme with MAC errors must be sent to that central error repository whether or not they are submitted to the dispute process",sec,ePurse
"Payment for a transaction is only required when a detail transaction is submitted for payment, A merchant acquirer may choose to pay the merchant using the batch total",nonsec,ePurse
The timing of payment to the merchant must be established between the merchant and the merchant acquirer,nonsec,ePurse
"A purchase transaction may be reversed, prior to the removal of the CEP card from the POS device, by sending a purchase reversal command to the CEP card, The CEP card must authenticate the PSAM using certificates previously exchanged",sec,ePurse
The amount to be reversed is the amount of the last step of the transaction. The reversal command sent to the CEP card contains a S2 MAC computed by the PSAM,sec,ePurse
"The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction, computes a new S4 MAC on the updated batch total count and amount, and logs the transaction",sec,ePurse
"The CEP card authenticates the PSAM using the certificates previously received and the S2, The CEP card increments the value of the purse and logs the transaction",sec,ePurse
The CEP card sends a response to the reversal command to the POS device. The reversal is considered to be successful even in the event of a negative response or no response from the CEP card,nonsec,ePurse
"After the CEP card is inserted in the POS device, the POS device initiates the cancel last purchase transaction",nonsec,ePurse
"If the POS device supports multiple applications or multiple transaction types, an interaction between the terminal and consumer or sales agent determines the CEP application and the function to be performed (cancel last purchase transaction)",nonsec,ePurse
"The CEP card verifies that the PSAM is the PSAM used in the original transaction, computes a S1 MAC using the same DES session key that was used for the purchase transaction being cancelled, and responds to the POS device with the S1 and the identification of the last transaction. If the purchase transaction to be canceled has been canceled or is not part of the active batch, the command is not allowed",sec,ePurse
